Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City
hungary, Wales,1.0,1.0,NO,Bozsik,5,Draw,1958-06-08,19:00:00,Jernvallen,Sandviken,153430.0,unknown,Uruguay
hungary, Wales,1.0,1.0,NO,J. Charles,27,Draw,1958-06-08,19:00:00,Jernvallen,Sandviken,153430.0,unknown,Uruguay
mexico, Wales,1.0,1.0,NO,Belmonte,89,Draw,1958-06-11,19:00:00,Råsunda Stadium,Unknown,151500.0,Leo Lemesic,Yugoslavia
mexico, Wales,1.0,1.0,NO,I. Allchurch,32,Draw,1958-06-11,19:00:00,Råsunda Stadium,Unknown,151500.0,Leo Lemesic,Yugoslavia
sweden, Hungary,2.0,1.0,NO,Hamrin,34,Home Win,1958-06-12,19:00:00,Råsunda Stadium,Solna,388500.0,Jack Mowat,Scotland
sweden, Hungary,2.0,1.0,NO,Tichy,77,Home Win,1958-06-12,19:00:00,Råsunda Stadium,Solna,388500.0,Jack Mowat,Scotland
hungary, Mexico,4.0,0.0,NO,Tichy,19,Home Win,1958-06-15,19:00:00,Jernvallen,Sandviken,133000.0,Arne Eriksson,Finland
hungary, Mexico,4.0,0.0,NO,Sándor,54,Home Win,1958-06-15,19:00:00,Jernvallen,Sandviken,133000.0,Arne Eriksson,Finland
hungary, Mexico,4.0,0.0,NO,Bencsics,69,Home Win,1958-06-15,19:00:00,Jernvallen,Sandviken,133000.0,Arne Eriksson,Finland
wales, Hungary,2.0,1.0,NO,I. Allchurch,55,Home Win,1958-06-17,19:00:00,Råsunda Stadium,Solna,28230.0,Nikolay Latyshev,Soviet Union
wales, Hungary,2.0,1.0,NO,Medwin,76,Home Win,1958-06-17,19:00:00,Råsunda Stadium,Solna,28230.0,Nikolay Latyshev,Soviet Union
wales, Hungary,2.0,1.0,NO,Tichy,33,Home Win,1958-06-17,19:00:00,Råsunda Stadium,Solna,28230.0,Nikolay Latyshev,Soviet Union
brazil, Austria,3.0,0.0,NO,Altafini,37,Home Win,1958-06-08,19:00:00,Rimnersvallen,Uddevalla,177780.0,Maurice Guigue,France
brazil, Austria,3.0,0.0,NO,Nílton Santos,50,Home Win,1958-06-08,19:00:00,Rimnersvallen,Uddevalla,177780.0,Maurice Guigue,France
soviet union, England,2.0,2.0,NO,Simonyan,13,Draw,1958-06-08,19:00:00,Ullevi,Gothenburg,493480.0,István Zsolt,Hungary
soviet union, England,2.0,2.0,NO,A. Ivanov,56,Draw,1958-06-08,19:00:00,Ullevi,Gothenburg,493480.0,István Zsolt,Hungary
soviet union, England,2.0,2.0,NO,Kevan,66,Draw,1958-06-08,19:00:00,Ullevi,Gothenburg,493480.0,István Zsolt,Hungary
soviet union, England,2.0,2.0,NO,Finney,85,Draw,1958-06-08,19:00:00,Ullevi,Gothenburg,493480.0,István Zsolt,Hungary
soviet union, Austria,2.0,0.0,NO,Ilyin,15,Home Win,1958-06-11,19:00:00,Ryavallen,Borås,212390.0,unknown,Denmark
